playerid;playerfullname;playerusename;positionabbrev;position;primarypositionabbrev
114875;Al Glossop;Al;2B;Second Base;2B
123815;Chico Walker;Chico;LF;Outfielder;OF
112866;Jeff Cross;Jeff;SS;Shortstop;SS
502261;Cole Gillespie;Cole;RF;Outfielder;LF
115459;Jason Hardtke;Jason;NULL;NULL;2B
501227;Alberto Cabrera;Alberto;P;Pitcher;P
445933;Bryan LaHair;Bryan;RF;Outfielder;1B
124379;Art Wilson;Art;C;Catcher;C
640464;Kohl Stewart;Kohl;P;Pitcher;P
446653;Jose Lobaton;Jose;C;Catcher;C
111931;Joe Campbell;Joe;RF;Outfielder;RF
123829;Roy Walker;Roy;P;Pitcher;P
116682;Doug Jones;Doug;P;Pitcher;P
110489;Tom Baker;Tom;P;Pitcher;P
113829;Don Elston;Don;P;Pitcher;P
117393;Ralph LaCock;Ralph;RF;Outfielder;1B
641355;Cody Bellinger;Cody;CF;Outfielder;CF
118401;Mike Mason;Mike;P;Pitcher;P
124050;Butch Weis;Butch;LF;Outfielder;OF
120899;Bob Ramazzotti;Bob;3B;Third Base;2B
657006;Justin Steele;Justin;P;Pitcher;P
502706;Derek Holland;Derek;P;Pitcher;P
115344;Jimmie Hall;Jimmie;NULL;NULL;CF
124608;Mel Wright;Mel;P;Pitcher;P
115489;Jack Harper;Jack;P;Pitcher;P
118956;Rudy Meoli;Rudy;NULL;NULL;SS
117141;Chuck Klein;Chuck;RF;Outfielder;RF
429985;Chad Gaudin;Chad;P;Pitcher;P
112517;Phil Collins;Phil;P;Pitcher;P
547973;Aroldis Chapman;Aroldis;P;Pitcher;P
123140;Harry Taylor;Harry;1B;First Base;1B
425557;Jeff Baker;Jeff;3B;Third Base;2B
121914;Rudy Schwenck;Rudy;P;Pitcher;P
116315;Randy Hundley;Randy;C;Catcher;C
111517;Jim Bros;Jim;P;Pitcher;P
453284;Blake Parker;Blake;P;Pitcher;P
453362;Chris Valaika;Chris;1B;First Base;2B
116131;Burt Hooton;Burt;P;Pitcher;P
121870;Al Schroll;Al;P;Pitcher;P
116077;Ed Holley;Ed;P;Pitcher;P
110047;Sparky Adams;Sparky;2B;Second Base;2B
115793;Bill Henry;Bill;P;Pitcher;P
110709;Frank Baumholtz;Frank;LF;Outfielder;RF
117947;Jay Loviglio;Jay;NULL;NULL;2B
622110;Matt Duffy;Matt;3B;Third Base;3B
116438;Randy Jackson;Randy;3B;Third Base;3B
116048;Brad Hogg;Brad;P;Pitcher;P
687863;Porter Hodge;Porter;P;Pitcher;P
624585;Jorge Soler;Jorge;RF;Outfielder;RF
621219;Alec Mills;Alec;P;Pitcher;P
111132;John Boccabella;John;1B;First Base;C
469159;Henry Alberto Rodriguez;Henry Alberto;P;Pitcher;P
453954;Kevin Hart;Kevin;P;Pitcher;P
111684;Jim Bullinger;Jim;P;Pitcher;P
111263;John Bottarini;John;C;Catcher;C
118551;Jack McCarthy;Jack;CF;Outfielder;LF
119469;Jamie Moyer;Jamie;P;Pitcher;P
111597;Jumbo Brown;Jumbo;P;Pitcher;P
121060;Mike Remlinger;Mike;P;Pitcher;P
111131;Randy Bobb;Randy;C;Catcher;C
547939;Chang-Yong Lim;Chang-Yong;P;Pitcher;P
121630;Luis Salazar;Luis;3B;Third Base;3B
114427;Lonny Frey;Lonny;SS;Shortstop;2B
120747;Todd Pratt;Todd;C;Catcher;C
119064;Damian Miller;Damian;C;Catcher;C
116958;Bob Kelly;Bob;P;Pitcher;P
116863;Tony Kaufmann;Tony;P;Pitcher;P
446381;Darwin Barney;Darwin;2B;Second Base;2B
120507;Babe Phelps;Babe;C;Catcher;C
116636;Bill Johnson;Bill;P;Pitcher;P
115276;Eddie Haas;Eddie;NULL;NULL;LF
116643;Jimmy Johnston;Jimmy;CF;Outfielder;3B
122565;Bob Speake;Bob;1B;First Base;OF
111106;Cy Block;Cy;3B;Third Base;3B
117175;Joe Kmak;Joe;C;Catcher;C
123748;Bill Voiselle;Bill;P;Pitcher;P
124623;Rick Wrona;Rick;C;Catcher;C
448694;Randy Wells;Randy;P;Pitcher;P
115602;Billy Hatcher;Billy;CF;Outfielder;LF
518886;Craig Kimbrel;Craig;P;Pitcher;P
340393;Ross Gload;Ross;NULL;NULL;1B
111278;Pat Bourque;Pat;1B;First Base;1B
275936;Julio Zuleta;Julio;1B;First Base;1B
121501;Wade Rowdon;Wade;3B;Third Base;3B
117324;Rube Kroh;Rube;P;Pitcher;P
116038;Solly Hofman;Solly;SS;Shortstop;CF
116482;Rick James;Rick;P;Pitcher;P
121102;Carl Reynolds;Carl;CF;Outfielder;RF
115760;Claude Hendri;Claude;P;Pitcher;P
111742;Jeromy Burnitz;Jeromy;RF;Outfielder;RF
150133;Daniel Garibay;Daniel;P;Pitcher;P
123494;Michael Tucker;Michael;CF;Outfielder;RF
114290;Ray Fontenot;Ray;P;Pitcher;P
117689;Dutch Leonard;Dutch;P;Pitcher;P
116284;Roy Hughes;Roy;3B;Third Base;2B
118109;Len Madden;Len;P;Pitcher;P
114525;Augie Galan;Augie;CF;Outfielder;LF
115416;Fred Haney;Fred;3B;Third Base;3B
117005;Marty Keough;Marty;NULL;NULL;CF
117959;Bobby Lowe;Bobby;2B;Second Base;2B
113652;Kid Durbin;Kid;CF;Outfielder;CF
121368;Roberto Rodriguez;Roberto;P;Pitcher;P
488846;Brian Duensing;Brian;P;Pitcher;P
118730;Fred McGriff;Fred;1B;First Base;1B
118089;Ray Mack;Ray;2B;Second Base;2B
605170;Victor Caratini;Victor;DH;Designated Hitter;C
600968;Randy Rosario;Randy;P;Pitcher;P
111026;Hi Bithorn;Hi;P;Pitcher;P
120770;Don Prince;Don;P;Pitcher;P
670156;Miles Mastrobuoni;Miles;3B;Third Base;SS
113135;Ron Davis;Ron;P;Pitcher;P
623508;Trent Giambrone;Trent;2B;Second Base;2B
493159;Tsuyoshi Wada;Tsuyoshi;P;Pitcher;P
114833;Joe Girardi;Joe;C;Catcher;C
120811;Ed Putman;Ed;3B;Third Base;C
114688;Dave Geisel;Dave;P;Pitcher;P
123469;Coaker Triplett;Coaker;LF;Outfielder;OF
115602;Billy Hatcher;Billy;LF;Outfielder;LF
119681;Tom Needham;Tom;C;Catcher;C
110891;Jason Bere;Jason;P;Pitcher;P
114969;Mike Gordon;Mike;C;Catcher;C
112712;Jim Cosman;Jim;P;Pitcher;P
119860;Lou Novikoff;Lou;LF;Outfielder;LF
643393;Tony Kemp;Tony;NULL;NULL;2B
110683;Miguel Batista;Miguel;P;Pitcher;P
122416;Dwight Smith;Dwight;LF;Outfielder;LF
121946;Rodney Scott;Rodney;3B;Third Base;2B
118540;Dutch McCall;Dutch;P;Pitcher;P
120134;Dave Owen;Dave;3B;Third Base;SS
120947;Bob Raudman;Bob;LF;Outfielder;OF
110608;Cuno Barragan;Cuno;C;Catcher;C
118335;Speed Martin;Speed;P;Pitcher;P
444444;Mitch Atkins;Mitch;P;Pitcher;P
110355;Ken Aspromonte;Ken;NULL;NULL;2B
113720;Vallie Eaves;Vallie;P;Pitcher;P
120000;Barney Olsen;Barney;CF;Outfielder;CF
592206;Nick Castellanos;Nick;RF;Outfielder;RF
121536;John Rudolph;John;RF;Outfielder;RF
434633;John Baker;John;C;Catcher;C
116219;Cal Howe;Cal;P;Pitcher;P
117748;Carlos Lezcano;Carlos;RF;Outfielder;CF
115384;Steve Hamilton;Steve;P;Pitcher;P
119482;Bill Mueller;Bill;3B;Third Base;3B
119530;Joe Munson;Joe;RF;Outfielder;RF
407778;David Kelton;David;NULL;NULL;LF
461791;Carlos Marmol;Carlos;P;Pitcher;P
118149;Freddie Maguire;Freddie;2B;Second Base;2B
124271;Rick Wilkins;Rick;C;Catcher;C
502085;David Robertson;David;P;Pitcher;P
119246;Rick Monday;Rick;CF;Outfielder;CF
548384;Brooks Raley;Brooks;P;Pitcher;P
545121;Ildemaro Vargas;Ildemaro;2B;Second Base;3B
115120;Lee Gregory;Lee;P;Pitcher;P
605200;Zach Davies;Zach;P;Pitcher;P
112385;Clem Clemens;Clem;C;Catcher;C
111981;Jose Cardenal;Jose;LF;Outfielder;CF
451595;Sean Gallagher;Sean;P;Pitcher;P
116467;Joe Jaeger;Joe;P;Pitcher;P
117372;Emil Kush;Emil;P;Pitcher;P
112649;Wilbur Cooper;Wilbur;P;Pitcher;P
119380;Moe Morhardt;Moe;NULL;NULL;1B
121149;Fred Richards;Fred;1B;First Base;1B
116511;Hal Jeffcoat;Hal;RF;Outfielder;P
118307;William Marriott;William;2B;Second Base;3B
124659;Eric Yelding;Eric;2B;Second Base;SS
656716;Zach McKinstry;Zach;3B;Third Base;SS
113283;Claud Derrick;Claud;SS;Shortstop;SS
113638;Ron Dunn;Ron;2B;Second Base;2B
123541;Wayne Tyrone;Wayne;NULL;NULL;OF
120578;George Piktuzis;George;P;Pitcher;P
122729;Harry Steinfeldt;Harry;3B;Third Base;3B
121141;Len Rice;Len;C;Catcher;C
120512;Adolfo Phillips;Adolfo;CF;Outfielder;CF
116311;Bob Humphreys;Bob;P;Pitcher;P
607257;Raffy Lopez;Raffy;C;Catcher;C
122416;Dwight Smith;Dwight;NULL;NULL;LF
111173;Jim Bolger;Jim;CF;Outfielder;CF
123382;Charles Tolson;Charles;1B;First Base;1B
123166;Bud Teachout;Bud;P;Pitcher;P
433217;Andres Blanco;AndrĂ©s;2B;Second Base;2B
111239;Bob Borkowski;Bob;CF;Outfielder;OF
124610;Bob Wright;Bob;P;Pitcher;P
666624;Christopher Morel;Christopher;CF;Outfielder;3B
621550;Patrick Wisdom;Patrick;NULL;NULL;1B
117962;Turk Lown;Turk;P;Pitcher;P
110449;Ed Bailey;Ed;C;Catcher;C
117546;Jimmy Lavender;Jimmy;P;Pitcher;P
425446;Aaron Miles;Aaron;2B;Second Base;2B
113571;Paddy Driscoll;Paddy;2B;Second Base;2B
114596;Nomar Garciaparra;Nomar;3B;Third Base;SS
592743;Andrelton Simmons;Andrelton;2B;Second Base;SS
216694;Bo Porter;Bo;LF;Outfielder;RF
122880;Lou Stringer;Lou;2B;Second Base;2B
112320;Dave Clark;Dave;NULL;NULL;RF
114773;Charlie Gilbert;Charlie;CF;Outfielder;CF
118403;Gordon Massa;Gordon;C;Catcher;C
117731;Darren Lewis;Darren;LF;Outfielder;CF
115167;Charlie Grimm;Charlie;1B;First Base;1B
431170;Jose Reyes;Jose;NULL;NULL;C
124754;Rollie Zeider;Rollie;SS;Shortstop;2B
119805;Al Nipper;Al;P;Pitcher;P
124330;Otto Williams;Otto;RF;Outfielder;SS
123480;Steve Trout;Steve;P;Pitcher;P
114596;Nomar Garciaparra;Nomar;SS;Shortstop;SS
120383;Ken Penner;Ken;P;Pitcher;P
111491;Pete Broberg;Pete;P;Pitcher;P
111079;Kevin Blankenship;Kevin;P;Pitcher;P
113531;Larry Doyle;Larry;2B;Second Base;2B
114239;Scott Fletcher;Scott;2B;Second Base;SS
113638;Ron Dunn;Ron;NULL;NULL;2B
113803;Carter Elliott;Carter;SS;Shortstop;SS
657228;Jake Jewell;Jake;P;Pitcher;P
434630;Eli Whiteside;Eli;C;Catcher;C
111782;Dick Burwell;Dick;P;Pitcher;P
503569;Rafael Dolis;Rafael;P;Pitcher;P
120621;Whitey Platt;Whitey;LF;Outfielder;LF
118184;Mike Maksudian;Mike;NULL;NULL;1B
110439;Abraham Bailey;Abraham;P;Pitcher;P
623364;Brad Wieck;Brad;P;Pitcher;P
116917;John Kelleher;John;3B;Third Base;3B
113724;Angel Echevarria;Angel;NULL;NULL;RF
121743;Bob Scanlan;Bob;P;Pitcher;P
124685;Anthony Young;Anthony;P;Pitcher;P
118915;Dave Meier;Dave;3B;Third Base;LF
113518;Red Downs;Red;2B;Second Base;2B
407825;Matt Guerrier;Matt;P;Pitcher;P
122537;Lary Sorensen;Lary;P;Pitcher;P
122833;Bill Stoneman;Bill;P;Pitcher;P
114334;Kevin Foster;Kevin;P;Pitcher;P
123004;Bruce Sutter;Bruce;P;Pitcher;P
113546;Sammy Drake;Sammy;NULL;NULL;2B
110709;Frank Baumholtz;Frank;RF;Outfielder;RF
124265;Harry Wilke;Harry;3B;Third Base;3B
113807;Rowdy Elliott;Rowdy;C;Catcher;C
150299;Mike Mahoney;Mike;C;Catcher;C
120212;Erik Pappas;Erik;C;Catcher;C
123204;Zeb Terry;Zeb;SS;Shortstop;SS
493120;Kosuke Fukudome;Kosuke;RF;Outfielder;RF
502125;Tyler Colvin;Tyler;RF;Outfielder;RF
110880;Butch Benton;Butch;C;Catcher;C
115978;Gene Hiser;Gene;NULL;NULL;LF
121879;Frank Schulte;Frank;RF;Outfielder;LF
118363;Dave Martinez;Dave;CF;Outfielder;RF
121898;Don Schulze;Don;P;Pitcher;P
116475;Cleo James;Cleo;CF;Outfielder;CF
150030;Richard Barker;Richard;P;Pitcher;P
115456;Bud Hardin;Bud;SS;Shortstop;SS
117912;Davey Lopes;Davey;LF;Outfielder;2B
119042;Hank Miklos;Hank;P;Pitcher;P
123638;Johnny Vander Meer;Johnny;P;Pitcher;P
118971;Fred Merkle;Fred;1B;First Base;1B
113012;Dom Dallessandro;Dom;CF;Outfielder;LF
462522;Jeff Gray;Jeff;P;Pitcher;P
116285;Terry Hughes;Terry;3B;Third Base;3B
113915;Shawn Estes;Shawn;P;Pitcher;P
120643;Tom Poholsky;Tom;P;Pitcher;P
120936;Dennis Rasmussen;Dennis;P;Pitcher;P
124663;Carroll Yerkes;Carroll;P;Pitcher;P
113139;Steve Davis;Steve;2B;Second Base;2B
112361;Sumpter Clarke;Sumpter;3B;Third Base;RF
593576;Hector Neris;HĂ©ctor;P;Pitcher;P
119354;Ramon Morel;Ramon;P;Pitcher;P
114471;Oscar Fuhr;Oscar;P;Pitcher;P
449060;Clay Rapada;Clay;P;Pitcher;P
120108;Reggie Otero;Reggie;1B;First Base;1B
121891;Bob Schultz;Bob;P;Pitcher;P
115803;Feli Heredia;Feli;P;Pitcher;P
430911;David Aardsma;David;P;Pitcher;P
114664;George Gaw;George;P;Pitcher;P
120502;Art Phelan;Art;2B;Second Base;3B
670623;Isaac Paredes;Isaac;3B;Third Base;3B
117196;Pete Knisely;Pete;RF;Outfielder;RF
400067;Carlos Silva;Carlos;P;Pitcher;P
115469;Alan Hargesheimer;Alan;P;Pitcher;P
118507;Jim McAy;Jim;NULL;NULL;RF
110700;Russ Bauers;Russ;P;Pitcher;P
119629;Rodney Myers;Rodney;P;Pitcher;P
120751;Mike Prendergast;Mike;P;Pitcher;P
110403;Manny Aybar;Manny;P;Pitcher;P
123743;Jose Vizcaino;Jose;SS;Shortstop;SS
115260;Mark Guthrie;Mark;P;Pitcher;P
115536;Vic Harris;Vic;NULL;NULL;2B
112979;Kiki Cuyler;Kiki;RF;Outfielder;RF
110991;Larry Biittner;Larry;NULL;NULL;1B
428642;Luis Montanez;Luis;RF;Outfielder;LF
118974;Lloyd Merriman;Lloyd;CF;Outfielder;CF
111495;Lou Brock;Lou;RF;Outfielder;LF
120493;Big Jeff Pfeffer;Big Jeff;P;Pitcher;P
425484;Jon Leicester;Jon;P;Pitcher;P
120076;Jose Ortiz;Jose;CF;Outfielder;CF
116264;Johnny Hudson;Johnny;SS;Shortstop;2B
115594;Ron Hassey;Ron;NULL;NULL;C
150039;Chad Meyers;Chad;2B;Second Base;2B
123707;Dave Veres;Dave;P;Pitcher;P
124734;Geoff Zahn;Geoff;P;Pitcher;P
122526;Eddie Solomon;Eddie;P;Pitcher;P
458085;Chris Coghlan;Chris;LF;Outfielder;LF
150041;Phil Norton;Phil;P;Pitcher;P
113251;Frank Demaree;Frank;CF;Outfielder;RF
118134;Lee Magee;Lee;CF;Outfielder;CF
121088;Paul Reuschel;Paul;P;Pitcher;P
117080;Jim King;Jim;LF;Outfielder;RF
123246;Frank Thomas;Frank;1B;First Base;LF
122371;Dave Smith;Dave;P;Pitcher;P
117582;Tommy Leach;Tommy;CF;Outfielder;CF
115755;Harvey Hendrick;Harvey;1B;First Base;1B
116917;John Kelleher;John;1B;First Base;3B
519203;Anthony Rizzo;Anthony;1B;First Base;1B
435279;Adam Greenberg;Adam;NULL;NULL;CF
119355;Keith Moreland;Keith;3B;Third Base;RF
112657;Mort Cooper;Mort;P;Pitcher;P
118997;George Metkovich;George;RF;Outfielder;CF
543743;Dave Sappelt;Dave;RF;Outfielder;LF
114049;Marv Felderman;Marv;C;Catcher;C
114367;Jimmie Fo;Jimmie;1B;First Base;1B
488787;Casey Coleman;Casey;P;Pitcher;P
596057;Daniel Norris;Daniel;P;Pitcher;P
444135;Ryan Theriot;Ryan;2B;Second Base;SS
112660;Walker Cooper;Walker;C;Catcher;C
112519;Bob Collins;Bob;C;Catcher;C
150277;Doug Davis;Doug;P;Pitcher;P
115990;Glen Hobbie;Glen;P;Pitcher;P
121524;Vic Roznovsky;Vic;C;Catcher;C
527055;Arodys VizcaĂ­no;Arodys;P;Pitcher;P
114508;Gary Gaetti;Gary;3B;Third Base;3B
116226;Jay Howell;Jay;P;Pitcher;P
110552;Turner Barber;Turner;CF;Outfielder;LF
120296;Reggie Patterson;Reggie;P;Pitcher;P
425784;Rene Rivera;RenĂ©;C;Catcher;C
110063;Bobby Adams;Bobby;NULL;NULL;3B
123772;Gale Wade;Gale;CF;Outfielder;OF
118180;George Maisel;George;CF;Outfielder;CF
116725;Sam Jones;Sam;P;Pitcher;P
121710;Hank Sauer;Hank;LF;Outfielder;LF
110130;Matt Aleander;Matt;NULL;NULL;CF
506433;Yu Darvish;Yu;P;Pitcher;P
110023;Cliff Aberson;Cliff;RF;Outfielder;LF
121814;Calvin Schiraldi;Calvin;P;Pitcher;P
124369;Bump Wills;Bump;2B;Second Base;2B
117602;Don Lee;Don;P;Pitcher;P
608365;Addison Russell;Addison;2B;Second Base;SS
542999;Tony Campana;Tony;CF;Outfielder;CF
111132;John Boccabella;John;LF;Outfielder;C
117587;Fred Lear;Fred;3B;Third Base;3B
670223;Matt Mervis;Matt;DH;Designated Hitter;1B
407790;Steve Smyth;Steve;P;Pitcher;P
118345;Mike Martin;Mike;C;Catcher;C
116604;Ken Johnson;Ken;P;Pitcher;P
124290;Billy Williams;Billy;LF;Outfielder;OF
121858;Ed Schorr;Ed;P;Pitcher;P
117092;Dave Kingman;Dave;LF;Outfielder;1B
114928;Geremi Gonzalez;Geremi;P;Pitcher;P
124167;Elder White;Elder;SS;Shortstop;SS
111562;Jophery Brown;Jophery;P;Pitcher;P
133380;Aramis Ramirez;Aramis;3B;Third Base;3B
451687;Micah Hoffpauir;Micah;1B;First Base;1B
605242;Michael Fulmer;Michael;P;Pitcher;P
121459;Dave Rosello;Dave;2B;Second Base;2B
112248;Bob Chipman;Bob;P;Pitcher;P
115285;Warren Hacker;Warren;P;Pitcher;P
123466;Manny Trillo;Manny;2B;Second Base;2B
116673;Clarence Jones;Clarence;NULL;NULL;RF
113794;Lee Elia;Lee;NULL;NULL;SS
113116;Jim Davis;Jim;P;Pitcher;P
119084;O Miller;O;P;Pitcher;P
121726;Carl Sawatski;Carl;C;Catcher;C
117577;Tony Lazzeri;Tony;SS;Shortstop;2B
117679;Ed Lenno;Ed;3B;Third Base;3B
117982;Fred Luderus;Fred;1B;First Base;1B
114376;Matt Franco;Matt;NULL;NULL;1B
150439;Gary Matthews;Gary;LF;Outfielder;CF
116351;Don Hurst;Don;1B;First Base;1B
113716;Rawly Eastwick;Rawly;P;Pitcher;P
111700;Freddie Burdette;Freddie;P;Pitcher;P
430592;Ronny Cedeno;Ronny;SS;Shortstop;SS
123320;Bob Thorpe;Bob;P;Pitcher;P
119043;Eddie Miksis;Eddie;2B;Second Base;2B
117230;Mark Koenig;Mark;3B;Third Base;SS
111467;Harry Bright;Harry;NULL;NULL;1B
114631;Adrian Garrett;Adrian;NULL;NULL;C
122207;Ed Sicking;Ed;2B;Second Base;2B
118266;Dick Manville;Dick;P;Pitcher;P
444135;Ryan Theriot;Ryan;NULL;NULL;SS
123431;Steve Trachsel;Steve;P;Pitcher;P
113188;Joe Decker;Joe;P;Pitcher;P
123927;Dick Ward;Dick;P;Pitcher;P
112510;Ripper Collins;Ripper;1B;First Base;1B
112624;Jim Cook;Jim;CF;Outfielder;CF
118214;Pat Malone;Pat;P;Pitcher;P
123204;Zeb Terry;Zeb;2B;Second Base;SS
462515;Miguel Socolovich;Miguel;P;Pitcher;P
112162;Ron Cey;Ron;3B;Third Base;3B
663611;Nick Madrigal;Nick;2B;Second Base;3B
116448;Tony Jacobs;Tony;P;Pitcher;P
493120;Kosuke Fukudome;Kosuke;CF;Outfielder;RF
112005;Hal Carlson;Hal;P;Pitcher;P
112641;Ron Coomer;Ron;3B;Third Base;1B
111041;Earl Blackburn;Earl;C;Catcher;C
114416;Howard Freigau;Howard;3B;Third Base;3B
150404;Ted Lilly;Ted;P;Pitcher;P
120342;Charlie Pechous;Charlie;3B;Third Base;3B
113151;Andre Dawson;Andre;RF;Outfielder;RF
116424;Danny Jackson;Danny;P;Pitcher;P
118460;Carmen Mauro;Carmen;CF;Outfielder;CF
119845;Bill North;Bill;RF;Outfielder;CF
112146;Phil Cavarretta;Phil;1B;First Base;1B
519306;Steven Souza Jr.;Steven;NULL;NULL;RF
124329;Mitch Williams;Mitch;P;Pitcher;P
110023;Cliff Aberson;Cliff;LF;Outfielder;LF
407822;Jorge De La Rosa;Jorge;P;Pitcher;P
641743;Anthony Kay;Anthony;P;Pitcher;P
111643;Don Bryant;Don;C;Catcher;C
