playerid;playerfullname;playerusename;positionabbrev;position;primarypositionabbrev
117551;Vance Law;Vance;3B;Third Base;3B
112643;Jimmy Cooney;Jimmy;SS;Shortstop;SS
113407;Jess Dobernic;Jess;P;Pitcher;P
111671;Art Bues;Art;3B;Third Base;3B
121809;Morrie Schick;Morrie;CF;Outfielder;CF
150037;Ray King;Ray;P;Pitcher;P
123122;Tony Taylor;Tony;2B;Second Base;2B
110370;Toby Atwell;Toby;C;Catcher;C
120001;Vern Olsen;Vern;P;Pitcher;P
111438;Duke Brett;Duke;P;Pitcher;P
621074;Michael Rucker;Michael;P;Pitcher;P
118065;John Mabry;John;1B;First Base;LF
121710;Hank Sauer;Hank;RF;Outfielder;LF
124755;Todd Zeile;Todd;3B;Third Base;3B
115166;Ray Grimes;Ray;1B;First Base;1B
123701;Emil Verban;Emil;2B;Second Base;2B
407296;Carlos Zambrano;Carlos;P;Pitcher;P
124026;Ray Webster;Ray;NULL;NULL;1B
112055;Al Carson;Al;P;Pitcher;P
116384;Blaise Ilsley;Blaise;P;Pitcher;P
114431;Bernie Friberg;Bernie;CF;Outfielder;3B
