"playerid","year","rank","playerfullname","playerusename","teamabbrev","teamname","leaguename","positionabbrev","position","primarypositionabbrev","plateappearances","totalbases","babip","walksperplateappearance","strikeoutsperplateappearance","homerunsperplateappearance","walksperstrikeout","iso","gamesplayed","runs","doubles","triples","homeruns","strikeouts","baseonballs","hits","avg","atbats","slg","rbi","numberofpitches","pitchesperplateappearance","caughtstealing","stolenbases","stolenbasepercentage","hitbypitch","obp","ops","sacbunts","groundintodoubleplay","sacflies","intentionalwalks","walkoffs","flyouts","totalswings","swingandmisses","ballsinplay","popouts","lineouts","groundouts","groundhits","catchersinterference"
605170,2017,458,"Victor Caratini","Victor","CHC","Chicago Cubs","NL",NULL,NULL,"C",66,21,".311","0.061","0.197","0.015","0.308","0.102",31,6,3,0,1,"13.0",4,15,"0.254",59,"0.356","2","272","4.121","0","0",NULL,"3","0.333","0.689","0","3","0","1","0","5","128","26","46","1","0","25","6","0"
502273,2017,458,"Mike Freeman","Mike","CHC","Chicago Cubs","NL","SS","Shortstop","SS",66,11,".125","0.091","0.288","0.015","0.316","0.083",35,6,2,0,1,"19.0",6,6,"0.1",60,"0.183","1","267","4.045","0","0",NULL,"0","0.182","0.365","0","1","0","1","0","10","135","36","41","2","4","19","2","0"
452657,2017,458,"Jon Lester","Jon","CHC","Chicago Cubs","NL","P","Pitcher","P",65,14,".250","0.062","0.4","0.015","0.154","0.111",32,5,3,0,1,"26.0",4,8,"0.148",54,"0.259","6","253","3.892","0","1","1","0","0.203","0.462","6","0","1","0","0","2","95","30","35","0","3","22","3","0"
543557,2017,458,"Mike Montgomery","Mike","CHC","Chicago Cubs","NL","P","Pitcher","P",30,9,".250","0","0.333","0.033",NULL,"0.148",44,5,1,0,1,"10.0",0,5,"0.185",27,"0.333","3","98","3.267","0","0",NULL,"0","0.185","0.518","3","0","0","0","0","0","53","18","20","0","1","14","1","0"
474463,2017,526,"Brett Anderson","Brett","CHC","Chicago Cubs","NL","P","Pitcher","P",8,1,".250","0.125","0.375","0","0.333","0",6,0,0,0,0,"3.0",1,1,"0.143",7,"0.143","1","27","3.375","0","0",NULL,"0","0.25","0.393","0","0","0","0","0","0","11","5","4","0","0","3","1","0"
572750,2017,526,"Eddie Butler","Eddie","CHC","Chicago Cubs","NL","P","Pitcher","P",19,1,".111","0.053","0.316","0","0.167","0",13,0,0,0,0,"6.0",1,1,"0.067",15,"0.067","0","75","3.947","0","0",NULL,"0","0.125","0.192","3","0","0","0","0","1","42","13","12","0","2","8","1","0"
543089,2017,526,"Taylor Davis","Taylor","CHC","Chicago Cubs","NL",NULL,NULL,"C",13,4,".333","0","0.308","0",NULL,"0.077",8,1,1,0,0,"4.0",0,3,"0.231",13,"0.308","1","32","2.462","0","0",NULL,"0","0.231","0.539","0","0","0","0","0","1","20","5","9","1","0","4","3","0"
451584,2017,526,"Wade Davis","Wade","CHC","Chicago Cubs","NL","P","Pitcher","P",0,0,NULL,NULL,NULL,NULL,NULL,NULL,59,0,0,0,0,"0.0",0,0,"0",0,"0","0","0",NULL,"0","0",NULL,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
488846,2017,526,"Brian Duensing","Brian","CHC","Chicago Cubs","NL","P","Pitcher","P",4,0,".000","0","0.75","0",NULL,"0",68,0,0,0,0,"3.0",0,0,"0",4,"0","0","12","3","0","0",NULL,"0","0","0","0","1","0","0","0","0","7","5","1","0","0","1","0","0"
605218,2017,526,"Carl Edwards Jr.","Carl","CHC","Chicago Cubs","NL","P","Pitcher","P",1,0,NULL,"0","1","0",NULL,"0",74,1,0,0,0,"1.0",0,0,"0",1,"0","0","3","3","0","0",NULL,"0","0","0","0","0","0","0","0","0","3","3","0","0","0","0","0","0"
571670,2017,526,"Dylan Floro","Dylan","CHC","Chicago Cubs","NL","P","Pitcher","P",4,0,".000","0","0.5","0",NULL,"0",3,0,0,0,0,"2.0",0,0,"0",4,"0","0","14","3.5","0","0",NULL,"0","0","0","0","1","0","0","0","0","9","3","2","0","1","1","0","0"
571676,2017,526,"Seth Frankoff","Seth","CHC","Chicago Cubs","NL","P","Pitcher","P",0,0,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0,0,"0.0",0,0,"0",0,"0","0","0",NULL,"0","0",NULL,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
518748,2017,526,"Justin Grimm","Justin","CHC","Chicago Cubs","NL","P","Pitcher","P",3,0,".000","0","0.333","0",NULL,"0",50,0,0,0,0,"1.0",0,0,"0",3,"0","0","7","2.333","0","0",NULL,"0","0","0","0","1","0","0","0","0","3","1","2","0","0","2","0","0"
543294,2017,526,"Kyle Hendricks","Kyle","CHC","Chicago Cubs","NL","P","Pitcher","P",51,6,".227","0","0.549","0",NULL,"0.02",25,3,1,0,0,"28.0",0,5,"0.1",50,"0.12","5","179","3.51","0","0",NULL,"0","0.1","0.22","1","0","0","0","0","3","86","35","23","2","1","12","4","0"
572955,2017,526,"Pierce Johnson","Pierce","CHC","Chicago Cubs","NL","P","Pitcher","P",0,0,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0,0,"0.0",0,0,"0",0,"0","0","0",NULL,"0","0",NULL,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
407793,2017,526,"John Lackey","John","CHC","Chicago Cubs","NL","P","Pitcher","P",61,8,".233","0.049","0.377","0","0.13","0.019",32,2,1,0,0,"23.0",3,7,"0.132",53,"0.151","1","223","3.656","1","1","0.5","0","0.179","0.33","5","0","0","0","0","1","102","38","35","1","2","24","2","0"
